id	DB	Resolution	phylum	class	order	family	genus	species	DB	Resolution	phylum	class	order	family	genus	species	DB	Resolution	phylum	class	order	family	genus	species	DB	Resolution	phylum	class	order	family	genus	species
MBPK_000001834	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000001894	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000002028	COInr	4		Phaeophyceae_2870	Ectocarpales_2877	Chordariaceae_66220			COInr-WO_Insecta	4		Phaeophyceae_2870	Ectocarpales_2877	Chordariaceae_66220			COInr_Med	4		Phaeophyceae_2870	Ectocarpales_2877	Chordariaceae_66220			COInr_Med_plus	4		Phaeophyceae_2870	Ectocarpales_2877	Chordariaceae_66220		
MBPK_000002117	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000002429	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000002521	COInr	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Bitectiporidae_97280	Schizomavella_97281	Schizomavella_linearis_560974	COInr-WO_Insecta	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Bitectiporidae_97280	Schizomavella_97281	Schizomavella_linearis_560974	COInr_Med	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Bitectiporidae_97280	Schizomavella_97281	Schizomavella_linearis_560974	COInr_Med_plus	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Bitectiporidae_97280	Schizomavella_97281	Schizomavella_linearis_560974
MBPK_000002681	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000002848	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000002851	COInr	3	Rhodophyta_2763	Florideophyceae_2806	Corallinales_31395				COInr-WO_Insecta	3	Rhodophyta_2763	Florideophyceae_2806	Corallinales_31395				COInr_Med	0							COInr_Med_plus	0						
MBPK_000002855	COInr	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Candidae_97286	Cradoscrupocellaria_2724381	Cradoscrupocellaria_reptans_2724382	COInr-WO_Insecta	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Candidae_97286	Cradoscrupocellaria_2724381	Cradoscrupocellaria_reptans_2724382	COInr_Med	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Candidae_97286	Cradoscrupocellaria_2724381	Cradoscrupocellaria_reptans_2724382	COInr_Med_plus	6	Bryozoa_10205	Gymnolaemata_10206	Cheilostomatida_10207	Candidae_97286	Cradoscrupocellaria_2724381	Cradoscrupocellaria_reptans_2724382
MBPK_000002858	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000002989	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
